Store_Name,Aug,Sep,Oct,Nov,Dec,Average_Attach,Volatility,Cluster
Ahmedabad(Ashram Rd) Br,0.13,0.23,0.1,0.06,0.16,0.136,0.05748043145279966,3
Ahmedabad(Bopal),0.16,0.14,0.16,0.31,0.35,0.22400000000000003,0.08777243302996675,1
Ahmedabad(Chandkheda Rd) Br,0.17,0.05,0.11,0.13,0.07,0.10600000000000001,0.04270831300812524,3
Ahmedabad(Dev Arc) Br,0.2,0.24,0.14,0.18,0.25,0.202,0.040199502484483556,3
Ahmedabad(Krishna Nagar) Br,0.04,0.28,0.03,0.07,0.23,0.13,0.10411532067856297,1
Ahmedabad(Maninagar) Br,0.17,0.21,0.14,0.11,0.19,0.164,0.035552777669262355,3
Ahmedabad(Odhav) Br,0.1,0.07,0.17,0.06,0.46,0.17200000000000001,0.1490503270710937,1
Ahmedabad(R3Mall) Br,0.13,0.0,0.21,0.09,0.0,0.086,0.0801498596380555,3
Ahmedabad(Rakhial) Br,0.0,0.33,0.11,0.23,0.0,0.134,0.1297073629367277,1
Ahmedabad(Shahi Baug) Br,0.02,0.18,0.1,0.11,0.32,0.146,0.10071742649611337,1
Ahmedabad(Vishala) Br,0.08,0.17,0.16,0.12,0.09,0.124,0.03611094017053558,3
Andheri Br,0.15,0.43,0.34,0.37,0.39,0.336,0.09748846085563154,0
Ap(Kakinada),0.0,0.0,0.05,0.1,0.2,0.07,0.07483314773547883,3
Ap(Ntr Circle),0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Ap(Rajahmundry-Jln Road),0.0,0.17,0.08,0.05,0.14,0.088,0.06112282715974451,3
Ap(Rajamundry),0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Ap(Tirupathi-Leela Mahal Circle),0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Ap(Tirupathi-M.R.Pally),0.07,0.17,0.13,0.09,0.17,0.126,0.04079215610874228,3
Ap(Vijayawada),0.0,0.0,0.15,0.24,0.0,0.078,0.09967948635501689,1
Ap(Vizag),0.0,0.17,0.0,0.0,0.0,0.034,0.068,3
Badlapur,0.14,0.36,0.19,0.17,0.0,0.172,0.11513470371699401,1
Belapur Br,0.17,0.29,0.17,0.16,0.04,0.166,0.0791454357496375,1
Bhandup Br,0.11,0.13,0.11,0.18,0.23,0.152,0.0466476151587624,3
Bhiwandi Br,0.39,0.21,0.33,0.44,0.44,0.362,0.08611620056644395,0
Boisar Br,0.0,0.0,0.1,0.0,0.0,0.02,0.04,3
Borivali Br,0.08,0.19,0.31,0.31,0.26,0.23000000000000004,0.08694826047713664,1
Chakala Andheri Br,0.06,0.17,0.17,0.2,0.18,0.156,0.049234134500364686,3
Chembur Br,0.07,0.17,0.11,0.16,0.06,0.11400000000000002,0.04498888751680797,3
Currey Road,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
DELHI(ASHOK VIHAR),0.0,0.0,0.0,0.15,0.17,0.064,0.07863841300535,3
DELHI(KRISHNA NAGAR),0.0,0.25,0.25,0.35,0.0,0.16999999999999998,0.14352700094407325,1
DELHI(ROHINI Sector-16),0.0,0.0,0.07,0.28,0.0,0.07,0.10844353369380769,1
Delhi(Budh Vihar),0.19,0.42,0.45,0.44,0.45,0.39,0.10059821071967434,0
Delhi(Burari),0.28,0.3,0.28,0.48,0.33,0.334,0.0752595508889071,0
Delhi(Daryaganj),0.32,0.39,0.31,0.52,0.39,0.386,0.0749933330370107,0
Delhi(Defence Enclave-Palam) Br,0.31,0.25,0.32,0.41,0.45,0.348,0.07222188034107116,0
Delhi(Durgapuri),0.29,0.25,0.34,0.38,0.13,0.278,0.08611620056644395,0
Delhi(Dwarka) Br,0.24,0.21,0.28,0.31,0.36,0.27999999999999997,0.05253570214625479,0
Delhi(Hauz Khas),0.56,0.8,0.52,0.6,0.63,0.622,0.09641576634555162,0
